"","forecast_btc","forecast_doge","forecast_eth","sl_btc2","sl_doge2","sl_eth2","date"
"1",1.68199411249092,3.44004221417853,1.87339102433051,1.67685659922752,3.30839321259933,1.88942873478819,2021-05-26
"2",1.6771964000371,3.45266156651463,1.8731065765406,1.65791451189267,3.26855214862389,1.85223803056038,2021-05-27
"3",1.67918047197697,3.44004810074547,1.87065258982939,1.59442025683893,3.22404930134132,1.7677668418843,2021-05-28
"4",1.67810456733302,3.45176175051676,1.8705140135599,1.56799954540169,3.20667924749008,1.72670398337877,2021-05-29
"5",1.67992803682796,3.46253498985616,1.87630549475649,1.59395158424024,3.20474999416744,1.75931080688107,2021-05-30
"6",1.66864659712549,3.45319987435802,1.87545016815059,1.63288479609762,3.25427513647943,1.84680773385958,2021-05-31
"7",1.65435146790715,3.43597466182061,1.86897258991421,1.61784954338276,3.33823630703167,1.82588615071559,2021-06-01
"8",1.64627494316231,3.4331987332,1.86622203291717,1.63844099459644,3.42690848967021,1.84457199575538,2021-06-02
"9",1.64023728351705,3.42415497585977,1.86483946536957,1.67498742144354,3.38941898437436,1.88139706281785,2021-06-03
"10",1.63417994696986,3.41941952027974,1.86139859134319,1.62273940638531,3.34926669478198,1.84000463706889,2021-06-04
"11",1.62768828263707,3.41467181515314,1.85895990942809,1.59090924692166,3.34196552870399,1.82511834203186,2021-06-05
"12",1.62034168180699,3.40810707544921,1.85560634023475,1.59837506619548,3.34131000491523,1.84684504967556,2021-06-06
